date,open,close,high,low
2018-01-26,172,171.51,172,170.06
2018-01-29,170.16,167.96,170.16,167.07
2018-01-30,165.525,166.97,167.37,164.7
2018-01-31,166.87,167.43,168.4417,166.5
2018-02-01,167.165,167.78,168.62,166.76
2018-02-02,166,160.5,166.8,160.1
2018-02-05,159.1,156.49,163.88,156
2018-02-06,154.83,163.03,163.72,154
2018-02-07,163.085,159.54,163.4,159.0685
2018-02-08,160.29,155.15,161,155.03
2018-02-09,157.07,156.41,157.89,150.24
2018-02-12,158.5,162.71,163.89,157.51
2018-02-13,161.95,164.34,164.75,161.65
2018-02-14,163.045,167.37,167.54,162.88
2018-02-15,169.79,172.99,173.09,169
2018-02-16,172.36,172.43,174.82,171.77
2018-02-20,172.05,171.85,174.26,171.42
2018-02-21,172.83,171.07,174.12,171.01
2018-02-22,171.8,172.5,173.95,171.71
2018-02-23,173.67,175.5,175.65,173.54
2018-02-26,176.35,178.97,179.39,176.21
2018-02-27,179.1,178.39,180.48,178.16
